Stock,Daily mean,Annualized rate of return,Annualized volatility,Sharpe ratio,Cumulative return,Max drawdown,Win rate,Composite score,Cluster_Index
stock_65_SP100,0.0006960120967741,0.1753950483870965,0.1945603513690224,0.901494303196569,0.1661944400981601,-0.0943166223573299,0.5524193548387096,0.5703804347826087,5
stock_72_HSI,0.0017940443548387,0.4520991774193553,0.3735365677043906,1.2103210676207146,0.4567532221890378,-0.29908351014202,0.5,0.569836956521739,0
stock_8_SP100,0.0021943024193548,0.5529642096774203,0.4866265259462615,1.1363215529654145,0.5340675022679109,-0.3912873383442841,0.5,0.5633152173913043,6
stock_77_SP100,0.0005827983870967,0.1468651935483871,0.150775642840474,0.974064449546242,0.1426278783582579,-0.062597952825234,0.5282258064516129,0.5622282608695652,5
stock_2_HSI,0.0007202419354838,0.1815009677419348,0.1877400085250762,0.9667676547361612,0.1749194976267145,-0.1179779726048329,0.5483870967741935,0.5595108695652173,5
stock_36_HSI,0.0016679274193548,0.4203177096774175,0.3881352107378787,1.0829156903295556,0.4045528301209777,-0.2020675217276221,0.4717741935483871,0.5573369565217392,0
stock_16_HSI,0.0014627822580645,0.3686211290322574,0.3239628863227682,1.1378498729172195,0.3649183699994147,-0.2664012309223348,0.5080645161290323,0.5527173913043478,0
stock_7_HSI,0.0010720806451612,0.2701643225806452,0.2423860462398687,1.114603446740027,0.2673744637399173,-0.1490671426458503,0.4838709677419355,0.5494565217391304,5
stock_94_SP100,0.0007553911290322,0.1903585645161294,0.1743539756075289,1.091793656283622,0.1881888729768326,-0.1382969858178618,0.5120967741935484,0.5434782608695652,5
stock_49_SP100,0.0009173548387096,0.2311734193548411,0.2649056141891591,0.8726633448763712,0.2124675679006462,-0.1600847232031475,0.5604838709677419,0.5418478260869566,5
stock_44_HSI,0.0012869999999999,0.3243239999999994,0.3479549329388823,0.9320862252496545,0.2960165648373896,-0.2092738821287047,0.5403225806451613,0.5396739130434783,0
stock_5_SP100,0.0010772258064516,0.2714609032258057,0.2288498107529779,1.186196756434387,0.2727869746137414,-0.2717654274523992,0.532258064516129,0.5383152173913043,5
stock_9_HSI,0.0009893548387096,0.2493174193548382,0.2315251836161637,1.0768479500189991,0.2451498947664094,-0.1724780685314462,0.5080645161290323,0.533695652173913,5
stock_36_SP100,0.0009198024193548,0.2317902096774189,0.25419190338275,0.9118709392108384,0.2170979819562513,-0.173972284553177,0.5403225806451613,0.523641304347826,5
stock_13_HSI,0.0007714516129032,0.1944058064516121,0.1944833970799246,0.9996010424052778,0.1886153522188152,-0.1135847203124051,0.4556451612903225,0.5157608695652174,5
stock_51_SP100,0.0004003951612903,0.1008995806451602,0.1527748699812434,0.6604461889415976,0.0918517055053542,-0.1128181811190389,0.5685483870967742,0.5141304347826087,5
