Stock Similarity Group Detection
========================================
Method: Z-score normalized cosine similarity
High similarity threshold: >= 0.9
Low similarity threshold: <= -0.7

High similarity groups (1541 pairs)
----------------------------------------
stock_63_SP100 <-> stock_74_SP100: 0.975782
stock_52_SP100 <-> stock_47_SP100: 0.975717
stock_52_SP100 <-> stock_67_SP100: 0.975651
stock_67_HSI <-> stock_38_HSI: 0.975610
stock_85_SP100 <-> stock_87_SP100: 0.975603
stock_64_HSI <-> stock_30_HSI: 0.975565
stock_85_SP100 <-> stock_54_SP100: 0.975522
stock_18_SP100 <-> stock_21_SP100: 0.975450
stock_75_HSI <-> stock_71_HSI: 0.975387
stock_35_HSI <-> stock_75_HSI: 0.975266
stock_21_HSI <-> stock_66_HSI: 0.975255
stock_33_HSI <-> stock_27_HSI: 0.975047
stock_17_HSI <-> stock_96_SP100: 0.975035
stock_53_SP100 <-> stock_68_SP100: 0.975008
stock_70_SP100 <-> stock_11_SP100: 0.974996
stock_41_SP100 <-> stock_21_SP100: 0.974888
stock_6_HSI <-> stock_62_HSI: 0.974873
stock_19_SP100 <-> stock_26_SP100: 0.974770
stock_50_SP100 <-> stock_64_SP100: 0.974722
stock_41_SP100 <-> stock_17_SP100: 0.974553
stock_53_HSI <-> stock_24_SP100: 0.974540
stock_29_HSI <-> stock_14_SP100: 0.974451
stock_27_SP100 <-> stock_82_SP100: 0.974406
stock_70_HSI <-> stock_66_HSI: 0.974376
stock_32_HSI <-> stock_38_HSI: 0.974292
stock_1_SP100 <-> stock_58_SP100: 0.974259
stock_44_SP100 <-> stock_55_SP100: 0.974254
stock_35_SP100 <-> stock_79_SP100: 0.974213
stock_6_HSI <-> stock_32_HSI: 0.974110
stock_38_HSI <-> stock_79_HSI: 0.973959
stock_19_SP100 <-> stock_6_SP100: 0.973946
stock_79_SP100 <-> stock_2_SP100: 0.973889
stock_90_SP100 <-> stock_45_SP100: 0.973856
stock_18_HSI <-> stock_75_HSI: 0.973840
stock_24_SP100 <-> stock_33_HSI: 0.973700
stock_75_HSI <-> stock_77_HSI: 0.973679
stock_74_SP100 <-> stock_48_HSI: 0.973670
stock_1_SP100 <-> stock_79_SP100: 0.973651
stock_68_SP100 <-> stock_59_SP100: 0.973528
stock_78_SP100 <-> stock_34_HSI: 0.973371
stock_86_SP100 <-> stock_45_SP100: 0.973329
stock_6_SP100 <-> stock_29_HSI: 0.973288
stock_45_SP100 <-> stock_10_SP100: 0.973285
stock_79_SP100 <-> stock_54_SP100: 0.973244
stock_58_SP100 <-> stock_7_SP100: 0.973191
stock_62_HSI <-> stock_26_HSI: 0.973143
stock_65_HSI <-> stock_32_HSI: 0.973107
stock_14_SP100 <-> stock_71_SP100: 0.973083
stock_86_SP100 <-> stock_67_SP100: 0.972830
stock_83_SP100 <-> stock_62_HSI: 0.972798
stock_47_HSI <-> stock_21_HSI: 0.972756
stock_75_HSI <-> stock_30_HSI: 0.972736
stock_62_SP100 <-> stock_45_SP100: 0.972707
stock_56_HSI <-> stock_65_HSI: 0.972657
stock_75_HSI <-> stock_26_HSI: 0.972555
stock_57_SP100 <-> stock_11_SP100: 0.972501
stock_7_SP100 <-> stock_68_SP100: 0.972480
stock_56_HSI <-> stock_53_HSI: 0.972292
stock_1_SP100 <-> stock_35_SP100: 0.972286
stock_18_SP100 <-> stock_86_SP100: 0.972081
stock_47_SP100 <-> stock_69_SP100: 0.972080
stock_18_SP100 <-> stock_57_SP100: 0.972041
stock_56_SP100 <-> stock_87_SP100: 0.971963
stock_46_SP100 <-> stock_59_SP100: 0.971943
stock_13_SP100 <-> stock_57_SP100: 0.971891
stock_47_SP100 <-> stock_57_SP100: 0.971889
stock_20_HSI <-> stock_26_SP100: 0.971871
stock_6_SP100 <-> stock_67_HSI: 0.971782
stock_46_SP100 <-> stock_4_SP100: 0.971736
stock_31_HSI <-> stock_20_HSI: 0.971692
stock_52_SP100 <-> stock_27_SP100: 0.971604
stock_79_SP100 <-> stock_98_SP100: 0.971570
stock_61_HSI <-> stock_21_HSI: 0.971494
stock_6_SP100 <-> stock_79_HSI: 0.971491
stock_87_SP100 <-> stock_54_SP100: 0.971469
stock_90_SP100 <-> stock_62_SP100: 0.971454
stock_7_SP100 <-> stock_89_SP100: 0.971340
stock_53_SP100 <-> stock_61_SP100: 0.971275
stock_15_HSI <-> stock_5_HSI: 0.971259
stock_47_SP100 <-> stock_45_SP100: 0.971225
